Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_conc_wt,Polymer_MW_kDa,Blend_ratio,Solvent_system,Solvent_ratio,Solution_viscosity_Pa_s,Solution_surface_tension_mN_m,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,Nozzle_type,Inner_nozzle_diam_mm,Outer_nozzle_diam_mm,Nozzle_protrusion_mm,Temperature_C,Humidity_pct,Collector_type,Collector_speed_RPM,Collection_time_min,Additive_type,Additive_loading_wt,Additive_particle_size_nm,Fiber_diameter_nm_std,Fiber_diameter_SD_nm,Fiber_diameter_min_nm,Fiber_diameter_max_nm,N_measurements,Bead_defects,Fiber_morphology,Fiber_alignment,Mat_thickness_um,Tensile_strength_MPa,Youngs_modulus_MPa,Elongation_at_break_pct,Contact_angle_deg,Porosity_pct,Crystallinity_pct,Antibacterial_activity,Application,Data_source,Comments,intrinsic_viscosity_dLg,c_star_wt_pct,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Solvent_density_gmL,log_diameter
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,0.3,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1220.0,580,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_5uLmin_standard_conditions_p=276kPa_WD=20cm_d=2mm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.106606137727303
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,0.6,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1770.0,1460,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_10uLmin,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.478734825567875
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,2260.0,1240,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_20uLmin_STANDARD_CONDITION,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.723120092266331
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,2.4,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1390.0,660,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_40uLmin,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.237059026124737
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,3.6,20.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1410.0,960,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,feed_rate_series_60uLmin,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.251344983372214
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,20.0,concentric,NR,NR,0,NR,NR,rotating_drum,800,NR,none,0,NR,3460.0,1530,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,protrusion_series_d=0mm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,8.14902386805177
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,25.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,2480.0,1480,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,WD_series_25cm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.8160138391590275
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,17.0,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,2760.0,1640,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,WD_series_17cm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.9229859587111955
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,12.5,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,2570.0,870,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,WD_series_12.5cm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.851661177889265
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,10.0,120,NR,chloroform,NR,NR,NR,2.76,1.2,7.2,concentric,NR,NR,2,NR,NR,rotating_drum,800,NR,none,0,NR,1570.0,730,NR,NR,50,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,general_process_study,Table_I,WD_series_7.2cm,0.5611600373295292,11.967916950381234,0.835567295583669,27.14,61.2,1.489,7.358830898342354
